Device,Test Name,Test Status,Message(s),Test description,Test category
dc2-leaf2c,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-leaf2c,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-leaf2c,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-leaf2c,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-leaf2c,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-leaf2c,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-leaf2c,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-leaf2c,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-leaf2c,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-leaf2c,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-leaf2c,VerifyNTP,success,,Verifies if NTP is synchronised.,System
dc2-leaf2c,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-spine1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-spine1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-spine1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-spine1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-spine1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-spine1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-spine1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-spine1,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-spine1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-spine1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-spine1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-spine1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
dc2-spine1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc2-spine2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
dc2-spine2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc2-spine2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc2-spine2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc2-spine2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc2-spine2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc2-spine2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc2-spine2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc2-spine2,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc2-spine2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc2-spine2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc2-spine2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc2-spine2,VerifyNTP,success,,Verifies if NTP is synchronised.,System
dc2-spine2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc1-leaf1a,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc1-leaf1b,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc1-leaf1c,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc1-leaf2a,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc1-leaf2b,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc1-leaf2c,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf1a,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf1b,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf1c,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf2a,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf2b,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
dc2-leaf2c,VerifyPortChannels,unset,,Verifies there are no inactive ports in port channels.,Interfaces
